EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,B52
591,2,41,2,aa,48,3,5,632.2546406204606
3045,1,45,2,aa,24,4,4,464.2662095281347
6760,1,47,1,aa,10,3,4,99.43643834936836
10770,2,53,1,aa,44,5,5,246.611693806935
16696,2,40,2,aa,41,3,3,301.24302007970954
17065,2,41,1,aa,51,1,5,843.1866498711769
29016,1,47,1,aa,29,3,5,21.15182487856699
32416,1,41,1,aa,41,3,5,302.2291837619175
32669,1,45,1,aa,14,1,5,461.5105837438854
33643,1,46,1,aa,11,3,5,837.0202957425288
37326,1,54,2,aa,55,3,3,843.3877364889389
40183,2,45,2,aa,29,2,3,96.74051309554267
42484,1,47,2,aa,34,3,3,850.8314514066087
48128,2,46,2,aa,14,5,2,26.2406512489788
69679,1,47,2,aa,24,4,3,347.91937710214927
88642,2,46,1,aa,27,2,4,380.31604309101306
93440,2,20,1,aa,28,1,2,64.48833100460118
94471,2,20,1,aa,28,4,5,155.23171158125496
107002,2,40,2,aa,15,3,5,1156.3627628958807
107094,1,18,2,aa,28,3,3,19.77562814810994
107596,1,45,1,aa,20,1,5,1127.5917688818301
107775,1,58,2,aa,34,4,1,1160.8749880034923
108021,1,41,2,aa,51,1,1,1163.6827180799655
108524,1,45,2,aa,29,5,1,11.681786657908042
108806,1,45,1,aa,50,5,1,1264.4949285599114
108885,1,40,2,aa,9,5,1,1248.222929493505
109091,2,20,1,aa,28,4,2,234.72832394696331
109158,1,20,2,aa,28,4,1,67.31837599742798
109205,1,41,1,aa,48,2,3,1249.4827688373286
110228,1,45,2,aa,24,4,1,697.0724750505927
110602,2,20,2,aa,50,2,5,547.4329491098813
111447,1,45,2,aa,23,5,5,1131.4730541296547
112008,1,45,1,aa,14,5,1,1157.674692912849
113766,2,18,2,aa,28,1,5,25.535595778705254
143936,1,44,2,aa,37,1,5,444.0638136750882
151861,1,41,2,aa,40,2,5,624.9586179962841
151960,1,52,2,aa,22,2,5,602.697181689407
152866,1,45,2,aa,27,1,5,412.7197444635161
152895,1,58,2,aa,35,6,4,1188.8523486673669
153063,1,45,1,aa,35,6,2,1271.9984541391489
153437,1,45,2,aa,32,2,5,1269.3496172758237
153806,1,18,2,aa,51,4,4,126.8231454865143
154218,1,55,2,aa,54,1,3,844.2724801255448
164227,1,20,2,aa,43,1,3,241.1029806038282
166770,1,20,2,aa,42,6,3,233.18646092372384
167493,1,20,2,aa,54,6,3,69.12926698697524
168753,1,20,2,aa,40,6,3,855.7469322133205
171084,1,51,2,aa,41,4,4,1275.8523064828855
172386,2,50,2,aa,41,4,3,1260.9308303586074
173258,2,36,2,aa,39,2,4,1343.3703671967178
175079,2,45,2,aa,9,6,4,428.0722670154875
175578,1,20,1,aa,14,6,4,190.63393708077112
